product_id,orders,units,net_revenue,category,avg_price,avg_rating
478,1,2,735.45,Category 0,432.62,5.0
704,2,2,842.08,Category 0,467.82,2.0
184,2,2,842.16,Category 0,575.29,5.0
377,1,2,1115.64,Category 3,557.82,4.0
742,3,4,1239.44,Category 6,340.13,4.0
389,2,4,1315.13,Category 4,421.82,3.5
108,2,3,1318.58,Category 1,544.02,3.5
137,1,3,1364.4,Category 1,568.5,5.0
146,2,2,1419.12,Category 5,824.54,3.5
749,2,5,1488.43,Category 4,365.42,4.5
223,1,1,1534.73,Category 6,1805.56,4.0
604,2,6,1564.68,Category 7,290.8,4.0
136,2,5,1576.02,Category 7,296.52,4.0
260,3,7,1589.04,Category 6,307.46,4.0
54,2,3,1644.85,Category 5,552.14,3.5
