date,orders,revenue,sessions,conversion_rate,revenue_7d_rolling
2024-01-01,18,46931.67,70,0.26,46931.67
2024-01-02,13,16286.6,72,0.18,31609.14
2024-01-03,16,30361.29,73,0.22,31193.19
2024-01-04,21,41447.56,70,0.3,33756.78
2024-01-05,10,16344.67,66,0.15,30274.36
2024-01-06,19,33304.13,83,0.23,30779.32
2024-01-07,17,27712.1,60,0.28,30341.15
2024-01-08,16,29932.05,62,0.26,27912.63
2024-01-09,15,22159.57,74,0.2,28751.62
2024-01-10,13,17606.88,63,0.21,26929.57
2024-01-11,13,19548.03,69,0.19,23801.06
2024-01-12,17,35993.86,64,0.27,26608.09
2024-01-13,23,49107.56,78,0.29,28865.72
2024-01-14,20,36702.96,74,0.27,30150.13
2024-01-15,16,35619.62,73,0.22,30962.64
2024-01-16,18,40638.67,70,0.26,33602.51
2024-01-17,11,23538.19,62,0.18,34449.84
2024-01-18,15,24064.07,62,0.24,35094.99
2024-01-19,12,28350.74,64,0.19,34003.12
2024-01-20,17,31477.14,73,0.23,31484.48
2024-01-21,16,27990.61,75,0.21,30239.86
2024-01-22,17,21735.08,76,0.22,28256.36
2024-01-23,19,47839.52,73,0.26,29285.05
2024-01-24,13,14209.97,58,0.22,27952.45
2024-01-25,14,26126.47,65,0.22,28247.08
2024-01-26,14,16327.15,69,0.2,26529.42
2024-01-27,12,22391.98,62,0.19,25231.54
2024-01-28,15,28500.75,68,0.22,25304.42
2024-01-29,19,36348.7,65,0.29,27392.08
2024-01-30,17,30899.87,69,0.25,24972.13
2024-01-31,15,25098.69,71,0.21,26527.66
2024-02-01,12,14223.88,63,0.19,24827.29
2024-02-02,14,28305.39,82,0.17,26538.47
2024-02-03,9,13331.1,54,0.17,25244.05
2024-02-04,13,21393.82,56,0.23,24228.78
2024-02-05,16,32993.72,74,0.22,23749.5
2024-02-06,13,23807.71,63,0.21,22736.33
2024-02-07,21,42991.68,75,0.28,25292.47
2024-02-08,15,24165.1,70,0.21,26712.65
2024-02-09,23,35528.45,87,0.26,27744.51
2024-02-10,16,24394.05,76,0.21,29324.93
2024-02-11,19,41019.17,67,0.28,32128.55
2024-02-12,15,27676.26,68,0.22,31368.92
2024-02-13,18,27486.04,72,0.25,31894.39
2024-02-14,13,30686.37,53,0.25,30136.49
2024-02-15,11,23214.8,69,0.16,30000.73
2024-02-16,25,42509.04,84,0.3,30997.96
2024-02-17,12,20379.9,57,0.21,30424.51
2024-02-18,11,20127.92,48,0.23,27440.05
2024-02-19,16,24118.2,69,0.23,26931.75
2024-02-20,21,33447.99,81,0.26,27783.46
2024-02-21,14,23646.29,75,0.19,26777.73
2024-02-22,17,36089.89,72,0.24,28617.03
2024-02-23,10,16336.56,71,0.14,24878.11
2024-02-24,15,26861.48,62,0.24,25804.05
2024-02-25,18,27150.8,69,0.26,26807.32
2024-02-26,18,22189.6,60,0.3,26531.8
2024-02-27,19,37128.67,80,0.24,27057.61
2024-02-28,20,36914.0,79,0.25,28953.0
2024-02-29,14,24736.46,76,0.18,27331.08
2024-03-01,25,36686.49,74,0.34,30238.21
2024-03-02,10,21680.26,57,0.18,29498.04
2024-03-03,22,41791.38,66,0.33,31589.55
2024-03-04,21,32600.1,82,0.26,33076.77
2024-03-05,18,33862.75,61,0.3,32610.21
2024-03-06,15,28528.38,62,0.24,31412.26
2024-03-07,16,29161.87,57,0.28,32044.46
2024-03-08,15,40435.77,69,0.22,32580.07
2024-03-09,9,11936.68,52,0.17,31188.13
2024-03-10,9,11226.08,68,0.13,26821.66
2024-03-11,13,22290.56,58,0.22,25348.87
2024-03-12,18,29701.67,66,0.27,24754.43
2024-03-13,18,36747.42,73,0.25,25928.58
2024-03-14,13,31486.55,71,0.18,26260.68
2024-03-15,19,28180.13,69,0.28,24509.87
2024-03-16,11,17250.77,65,0.17,25269.03
