ym,orders,revenue,sessions,conversion_rate,aov,revenue_mom_growth_pct
2024-01,491,904596.15,2133,0.23,1842.35,
2024-02,458,802854.34,2012,0.23,1752.96,-11.25
2024-03,486,888857.02,2116,0.23,1828.92,10.71
2024-04,461,820449.67,2057,0.22,1779.72,-7.7
2024-05,437,824853.58,2074,0.21,1887.54,0.54
2024-06,465,821460.06,2006,0.23,1766.58,-0.41
2024-07,460,797223.97,2096,0.22,1733.1,-2.95
2024-08,502,917972.7,2167,0.23,1828.63,15.15
2024-09,479,903900.11,2045,0.23,1887.06,-1.53
2024-10,455,802942.09,2153,0.21,1764.71,-11.17
2024-11,428,771484.47,2011,0.21,1802.53,-3.92
2024-12,494,859574.9,2130,0.23,1740.03,11.42
