product_id,net_revenue,cum_share_pct
130,35975.880000000005,0.36
292,33794.75,0.69
806,32446.56,1.01
49,32122.48,1.33
453,31456.73,1.64
696,30775.590000000004,1.94
175,30099.9,2.24
686,30001.75,2.54
634,29627.73,2.83
755,28377.64,3.11
134,28171.88,3.39
386,27778.15,3.66
60,27387.25,3.93
83,27357.82,4.2
715,27114.89,4.47
733,26006.27,4.73
269,25894.82,4.99
320,25851.4,5.24
181,25670.67,5.5
201,25625.95,5.75
165,25341.36,6.0
626,24301.62,6.24
417,24042.65,6.48
663,23909.13,6.71
687,23800.44,6.95
349,23800.170000000002,7.18
577,23535.75,7.42
692,23467.44,7.65
410,23456.37,7.88
215,23274.149999999998,8.11
681,23158.6,8.34
491,23122.11,8.57
24,22997.5,8.8
670,22811.01,9.02
8,22788.63,9.25
94,22748.76,9.47
728,22637.059999999998,9.69
438,22588.42,9.92
301,22364.21,10.14
707,22101.78,10.36
501,22089.94,10.58
464,21965.66,10.79
64,21890.39,11.01
362,21824.579999999998,11.23
261,21746.95,11.44
840,21699.71,11.65
227,21677.3,11.87
869,21655.43,12.08
323,21575.62,12.3
222,21373.91,12.51
393,21304.11,12.72
58,21285.440000000002,12.93
774,21222.19,13.14
419,21200.78,13.35
553,21183.44,13.56
18,20955.83,13.76
708,20898.35,13.97
382,20750.32,14.18
270,20661.52,14.38
659,20612.68,14.58
338,20263.76,14.78
559,20232.47,14.98
435,20143.8,15.18
6,20105.64,15.38
324,20104.52,15.58
537,20051.22,15.78
712,19958.559999999998,15.98
433,19930.850000000002,16.17
429,19814.28,16.37
825,19808.45,16.57
378,19647.87,16.76
684,19611.9,16.95
327,19603.79,17.15
86,19573.38,17.34
503,19572.16,17.53
118,19545.57,17.73
552,19473.79,17.92
78,19426.91,18.11
90,19385.89,18.3
488,19363.48,18.49
735,19350.81,18.69
69,19297.51,18.88
20,19041.44,19.07
674,19001.87,19.25
609,18994.74,19.44
102,18951.72,19.63
471,18911.74,19.82
495,18903.75,20.0
314,18885.38,20.19
636,18832.16,20.37
363,18754.95,20.56
500,18654.920000000002,20.74
360,18649.940000000002,20.93
611,18641.45,21.11
170,18628.09,21.3
831,18597.45,21.48
335,18505.15,21.66
481,18432.52,21.85
450,18428.83,22.03
358,18419.23,22.21
474,18398.14,22.39
694,18379.21,22.57
690,18325.43,22.76
177,18171.489999999998,22.93
188,18147.57,23.11
113,18142.670000000002,23.29
550,18138.48,23.47
816,18106.62,23.65
737,18102.34,23.83
544,18091.91,24.01
76,18053.28,24.19
300,18003.57,24.37
857,17983.98,24.54
685,17951.25,24.72
786,17937.95,24.9
724,17894.88,25.08
628,17879.16,25.25
155,17764.92,25.43
88,17741.57,25.6
643,17724.54,25.78
665,17719.5,25.95
723,17712.33,26.13
593,17701.37,26.3
844,17686.34,26.48
63,17647.32,26.65
580,17611.84,26.83
456,17587.190000000002,27.0
851,17573.739999999998,27.17
466,17571.67,27.35
873,17549.77,27.52
357,17549.3,27.7
557,17532.85,27.87
147,17530.07,28.04
880,17509.850000000002,28.22
614,17475.25,28.39
587,17455.34,28.56
892,17370.63,28.73
413,17276.43,28.9
151,17242.02,29.07
468,17201.85,29.24
770,17141.3,29.41
308,17125.99,29.58
887,16986.32,29.75
281,16859.82,29.92
248,16782.47,30.08
278,16776.33,30.25
835,16776.23,30.41
95,16770.12,30.58
658,16767.29,30.75
51,16750.47,30.91
153,16736.07,31.08
398,16653.18,31.24
805,16627.06,31.41
369,16567.21,31.57
111,16499.06,31.73
513,16488.34,31.9
376,16438.68,32.06
31,16427.68,32.22
50,16400.37,32.38
852,16398.26,32.54
590,16387.96,32.71
431,16372.89,32.87
625,16363.99,33.03
526,16348.01,33.19
515,16345.93,33.35
200,16338.5,33.52
485,16285.220000000001,33.68
409,16275.24,33.84
203,16267.66,34.0
734,16259.35,34.16
337,16171.43,34.32
538,16128.76,34.48
325,16127.17,34.64
496,16102.31,34.8
868,16090.08,34.96
615,16079.130000000001,35.11
623,16043.69,35.27
425,15986.09,35.43
649,15958.07,35.59
534,15938.789999999999,35.75
187,15912.529999999999,35.9
897,15892.27,36.06
732,15891.84,36.22
241,15812.23,36.37
2,15760.130000000001,36.53
678,15706.130000000001,36.69
80,15683.62,36.84
132,15633.55,36.99
763,15630.07,37.15
399,15624.529999999999,37.3
97,15622.29,37.46
436,15600.23,37.61
884,15557.46,37.77
858,15547.18,37.92
79,15543.650000000001,38.07
518,15536.18,38.23
173,15533.739999999998,38.38
876,15529.77,38.53
218,15472.8,38.69
16,15399.7,38.84
726,15391.22,38.99
492,15388.13,39.14
638,15380.89,39.3
695,15354.970000000001,39.45
98,15327.1,39.6
676,15313.73,39.75
619,15299.619999999999,39.9
114,15288.16,40.05
762,15267.43,40.2
711,15240.35,40.35
121,15231.210000000001,40.5
644,15210.730000000001,40.66
820,15189.03,40.81
520,15171.42,40.96
791,15137.96,41.1
754,15115.95,41.25
32,15101.77,41.4
841,15083.689999999999,41.55
174,15081.03,41.7
490,15062.58,41.85
543,15052.81,42.0
77,15008.84,42.15
220,14986.439999999999,42.3
230,14892.439999999999,42.44
717,14888.31,42.59
719,14839.11,42.74
342,14824.23,42.88
185,14811.86,43.03
554,14783.039999999999,43.18
143,14777.0,43.32
760,14772.880000000001,43.47
821,14747.0,43.61
178,14742.880000000001,43.76
653,14703.3,43.91
163,14677.97,44.05
387,14536.1,44.19
477,14526.310000000001,44.34
274,14524.98,44.48
322,14507.71,44.62
249,14502.3,44.77
150,14500.210000000001,44.91
785,14499.03,45.05
716,14488.93,45.2
430,14477.789999999999,45.34
472,14464.24,45.48
356,14431.05,45.63
25,14430.98,45.77
483,14376.68,45.91
499,14348.46,46.05
607,14334.14,46.19
138,14318.02,46.34
272,14272.68,46.48
632,14271.66,46.62
226,14233.87,46.76
566,14230.06,46.9
629,14225.130000000001,47.04
484,14211.43,47.18
894,14184.73,47.32
639,14180.64,47.46
427,14173.02,47.6
29,14128.92,47.74
104,14096.66,47.88
551,14091.27,48.02
803,14064.31,48.16
289,14028.98,48.3
721,13989.03,48.44
219,13979.21,48.57
154,13966.14,48.71
527,13957.65,48.85
759,13941.87,48.99
556,13884.24,49.12
447,13868.81,49.26
307,13800.26,49.4
645,13760.99,49.53
817,13719.48,49.67
761,13715.67,49.81
808,13696.86,49.94
641,13676.83,50.08
870,13645.7,50.21
885,13578.48,50.35
709,13568.53,50.48
672,13562.38,50.61
366,13431.23,50.75
508,13429.43,50.88
242,13386.17,51.01
824,13378.22,51.14
878,13367.46,51.28
521,13333.17,51.41
306,13327.26,51.54
380,13321.01,51.67
748,13280.34,51.8
296,13273.460000000001,51.93
107,13245.77,52.06
839,13176.47,52.19
326,13171.24,52.32
334,13167.06,52.46
789,13165.27,52.59
28,13158.689999999999,52.72
823,13143.67,52.85
603,13140.04,52.98
664,13074.380000000001,53.1
364,13033.14,53.23
571,12985.62,53.36
506,12973.369999999999,53.49
14,12963.939999999999,53.62
702,12941.35,53.75
3,12931.62,53.87
891,12930.199999999999,54.0
519,12919.99,54.13
27,12913.02,54.26
224,12910.15,54.38
238,12908.029999999999,54.51
705,12890.58,54.64
10,12859.029999999999,54.77
340,12842.54,54.89
718,12827.59,55.02
240,12817.34,55.15
434,12795.86,55.27
100,12791.560000000001,55.4
139,12776.16,55.53
832,12766.08,55.65
259,12753.16,55.78
428,12745.140000000001,55.9
213,12715.9,56.03
872,12713.89,56.16
206,12699.04,56.28
792,12642.15,56.41
266,12562.27,56.53
855,12553.61,56.65
581,12550.810000000001,56.78
601,12507.15,56.9
368,12481.73,57.03
89,12410.24,57.15
722,12397.29,57.27
371,12369.59,57.39
194,12369.26,57.52
486,12353.52,57.64
890,12349.85,57.76
631,12318.86,57.88
896,12303.58,58.0
93,12275.310000000001,58.12
736,12229.4,58.25
245,12159.46,58.37
205,12147.619999999999,58.49
318,12138.86,58.61
637,12106.79,58.73
573,12035.65,58.84
145,12000.460000000001,58.96
753,11992.880000000001,59.08
263,11989.73,59.2
388,11970.800000000001,59.32
881,11958.17,59.44
367,11947.7,59.55
646,11913.51,59.67
612,11907.77,59.79
252,11883.54,59.91
162,11880.96,60.03
404,11836.27,60.14
727,11835.6,60.26
120,11824.5,60.38
467,11813.02,60.49
405,11805.8,60.61
321,11802.150000000001,60.73
396,11777.1,60.84
809,11746.52,60.96
395,11741.289999999999,61.07
