customer_id,last_purchase,frequency,monetary,recency_days,R_score,F_score,M_score,segment
5176,2024-11-25,4,15955.15,35,5,3,5,Champions
1738,2024-12-19,3,13800.96,11,5,3,5,Champions
2994,2024-08-15,3,12989.279999999999,137,3,3,5,Core
7574,2024-06-05,2,12451.970000000001,208,2,2,5,At-risk loyalists
1334,2024-12-16,5,12203.21,14,5,3,5,Champions
1506,2024-09-29,4,11867.1,92,4,3,5,Champions
3645,2024-12-23,2,11806.82,7,5,2,5,Champions
7744,2024-10-19,4,11728.23,72,4,3,5,Champions
4004,2024-03-11,3,11708.76,294,1,3,5,At-risk loyalists
6256,2024-09-20,3,11609.37,101,4,3,5,Champions
6085,2024-08-28,3,11545.2,124,3,3,5,Core
9658,2024-07-15,5,11532.05,168,3,3,5,Core
8608,2024-12-02,3,11392.83,28,5,3,5,Champions
9476,2024-12-25,4,11059.96,5,5,3,5,Champions
8078,2024-11-19,2,10990.96,41,5,2,5,Champions
