product_id,orders,units,net_revenue,category,avg_price,avg_rating
130,12,31,35975.88,Category 2,1306.54,3.67
292,13,41,33794.75,Category 6,872.81,3.92
806,13,35,32446.56,Category 1,1095.59,3.85
49,9,27,32122.48,Category 5,1157.96,3.11
453,13,34,31456.73,Category 5,978.33,3.62
696,11,32,30775.59,Category 2,968.09,3.27
175,10,26,30099.9,Category 6,1020.49,4.0
686,13,39,30001.75,Category 7,888.99,3.69
634,9,27,29627.73,Category 0,1152.45,4.22
755,9,25,28377.64,Category 3,1130.69,3.33
134,12,36,28171.88,Category 1,1002.71,3.75
386,13,29,27778.15,Category 4,1036.45,4.08
60,8,25,27387.25,Category 2,1157.54,3.12
83,13,31,27357.82,Category 0,828.97,4.23
715,11,30,27114.89,Category 2,984.08,3.64
