product_id,orders,units,net_revenue,category,avg_price,avg_rating
292,13,41,33794.75,Category 6,872.81,3.92
686,13,39,30001.75,Category 7,888.99,3.69
134,12,36,28171.88,Category 1,1002.71,3.75
324,13,36,20104.52,Category 4,682.06,3.85
708,13,36,20898.35,Category 7,648.91,3.92
806,13,35,32446.56,Category 1,1095.59,3.85
18,14,35,20955.83,Category 1,602.01,4.0
338,12,35,20263.76,Category 7,657.54,4.0
165,11,34,25341.36,Category 3,804.49,3.91
453,13,34,31456.73,Category 5,978.33,3.62
215,10,33,23274.15,Category 5,707.26,4.3
663,11,32,23909.13,Category 0,817.9,4.09
696,11,32,30775.59,Category 2,968.09,3.27
64,14,32,21890.39,Category 0,758.09,4.07
94,11,32,22748.76,Category 6,819.38,4.55
